Inpp1	Inpp1
Hibch	Hibch
1700019D03Rik	1700019D03Rik
1700019A02Rik	1700019A02Rik
Pms1	Pms1
Gm28777	Gm28777
Ormdl1	Ormdl1
Osgepl1	Osgepl1
Asnsd1	Asnsd1
Dnah7a	Dnah7a
Stk17b	Stk17b
Hecw2	Hecw2
Gtf3c3	Gtf3c3
Pgap1	Pgap1
Ankrd44	Ankrd44
4930444A19Rik	4930444A19Rik
Sf3b1	Sf3b1
Coq10b	Coq10b
Hspd1	Hspd1
Hspe1	Hspe1
Mob4	Mob4
Rftn2	Rftn2
Mars2	Mars2
Boll	Boll
Plcl1	Plcl1
4930558J18Rik	4930558J18Rik
1700066M21Rik	1700066M21Rik
Tyw5	Tyw5
9430016H08Rik	9430016H08Rik
Spats2l	Spats2l
Kctd18	Kctd18
Sgol2a	Sgol2a
Aox2	Aox2
Bzw1	Bzw1
Clk1	Clk1
Ppil3	Ppil3
Nif3l1	Nif3l1
Orc2	Orc2
Gm15834	Gm15834
Fam126b	Fam126b
Ndufb3	Ndufb3
Als2cr12	Als2cr12
Cflar	Cflar
Casp8	Casp8
Trak2	Trak2
Stradb	Stradb
Tmem237	Tmem237
G730003C15Rik	G730003C15Rik
Mpp4	Mpp4
Gm29017	Gm29017
Als2	Als2
Cdk15	Cdk15
Fzd7	Fzd7
Gm973	Gm973
Sumo1	Sumo1
Nop58	Nop58
Bmpr2	Bmpr2
Fam117b	Fam117b
Ica1l	Ica1l
Wdr12	Wdr12
Carf	Carf
Nbeal1	Nbeal1
Cyp20a1	Cyp20a1
Abi2	Abi2
Raph1	Raph1
Cd28	Cd28
Gm11579	Gm11579
2310016D23Rik	2310016D23Rik
Ctla4	Ctla4
Icos	Icos
Pard3b	Pard3b
Gm29084	Gm29084
Nrp2	Nrp2
Gm29083	Gm29083
Gm4208	Gm4208
Ino80d	Ino80d
Ino80dos	Ino80dos
Gm20342	Gm20342
Ndufs1	Ndufs1
Eef1b2	Eef1b2
Zdbf2	Zdbf2
Adam23	Adam23
Fastkd2	Fastkd2
Klf7	Klf7
Gm26649	Gm26649
Creb1	Creb1
Mettl21a	Mettl21a
Ccnyl1	Ccnyl1
Fzd5	Fzd5
Plekhm3	Plekhm3
D630023F18Rik	D630023F18Rik
Idh1	Idh1
Pikfyve	Pikfyve
Map2	Map2
Rpe	Rpe
Kansl1l	Kansl1l
Acadl	Acadl
Myl1	Myl1
Lancl1	Lancl1
Gm29114	Gm29114
Ikzf2	Ikzf2
Spag16	Spag16
Bard1	Bard1
Atic	Atic
Fn1	Fn1
Gm8883	Gm8883
Mreg	Mreg
D230017M19Rik	D230017M19Rik
Pecr	Pecr
Tmem169	Tmem169
Xrcc5	Xrcc5
March4	March4
Smarcal1	Smarcal1
Rpl37a	Rpl37a
6030407O03Rik	6030407O03Rik
Tns1	Tns1
Rufy4	Rufy4
Cxcr1	Cxcr1
Arpc2	Arpc2
Gpbar1	Gpbar1
Aamp	Aamp
Gm28364	Gm28364
Pnkd	Pnkd
Tmbim1	Tmbim1
Catip	Catip
Slc11a1	Slc11a1
Ctdsp1	Ctdsp1
Usp37	Usp37
Rqcd1	Rqcd1
Plcd4	Plcd4
Zfp142	Zfp142
Bcs1l	Bcs1l
Rnf25	Rnf25
Stk36	Stk36
Ttll4	Ttll4
Cyp27a1	Cyp27a1
Wnt6	Wnt6
Wnt10a	Wnt10a
Ccdc108	Ccdc108
Ihh	Ihh
Nhej1	Nhej1
Slc23a3	Slc23a3
Cnppd1	Cnppd1
Fam134a	Fam134a
Zfand2b	Zfand2b
Abcb6	Abcb6
Atg9a	Atg9a
Ankzf1	Ankzf1
Glb1l	Glb1l
Stk16	Stk16
Tuba4a	Tuba4a
A630095N17Rik	A630095N17Rik
Dnajb2	Dnajb2
Ptprn	Ptprn
Dnpep	Dnpep
Des	Des
Speg	Speg
Gmppa	Gmppa
Chpf	Chpf
Obsl1	Obsl1
Tmem198	Tmem198
Inha	Inha
Stk11ip	Stk11ip
Slc4a3	Slc4a3
Pax3	Pax3
Farsb	Farsb
Mogat1	Mogat1
Acsl3	Acsl3
Utp14b	Utp14b
Scg2	Scg2
Ap1s3	Ap1s3
Wdfy1	Wdfy1
Mrpl44	Mrpl44
Serpine2	Serpine2
Fam124b	Fam124b
Cul3	Cul3
Dock10	Dock10
Irs1	Irs1
Rhbdd1	Rhbdd1
Gm28940	Gm28940
Col4a4	Col4a4
Mff	Mff
Tm4sf20	Tm4sf20
Gm28942	Gm28942
Agfg1	Agfg1
Ccl20	Ccl20
Pid1	Pid1
Trip12	Trip12
